Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
88.75,82.50,81.25,86.25,88.75,85.50±3.49
92.50,88.75,91.25,90.00,92.50,91.00±1.63
73.75,77.50,68.75,70.00,71.25,72.25±3.47
98.75,98.75,96.25,92.50,93.75,96.00±2.85
57.50,62.50,65.00,63.75,56.25,61.00±3.89
97.50,93.75,91.25,97.50,93.75,94.75±2.71
100.00,100.00,100.00,100.00,100.00,100.00±0.00
80.00,86.25,77.50,86.25,87.50,83.50±4.45
88.75,86.25,85.00,83.75,72.50,83.25±6.29
93.75,91.25,85.00,90.00,91.25,90.25±3.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,98.75,98.75,99.00±0.56
77.50,73.75,81.25,76.25,88.75,79.50±5.84
92.50,91.25,95.00,93.75,95.00,93.50±1.63
97.50,95.00,91.25,93.75,81.25,91.75±6.29
98.75,96.25,97.50,98.75,93.75,97.00±2.09
83.75,77.50,78.75,85.00,78.75,80.75±3.38
100.00,100.00,98.75,97.50,98.75,99.00±1.05
88.75,90.00,98.75,90.00,88.75,91.25±4.24
53.75,76.25,71.25,71.25,62.50,67.00±8.91
87.50,87.50,80.00,91.25,90.00,87.25±4.37
66.25,61.25,60.00,71.25,60.00,63.75±4.92
27.50,28.75,28.75,37.50,30.00,30.50±4.01
73.75,80.00,87.50,70.00,70.00,76.25±7.50
85.00,98.75,92.50,96.25,85.00,91.50±6.34
88.75,88.75,87.50,93.75,90.00,89.75±2.40
97.50,96.25,93.75,95.00,92.50,95.00±1.98
81.25,87.50,87.50,88.75,77.50,84.50±4.89
86.25,88.75,90.00,86.25,87.50,87.75±1.63
98.75,100.00,100.00,100.00,98.75,99.50±0.68
100.00,100.00,100.00,98.75,98.75,99.50±0.68
100.00,97.50,95.00,97.50,97.50,97.50±1.77
82.50,90.00,92.50,87.50,87.50,88.00±3.71
40.00,45.00,53.75,47.50,32.50,43.75±8.00
45.00,63.75,71.25,56.25,53.75,58.00±9.98
100.00,100.00,98.75,98.75,100.00,99.50±0.68
96.25,97.50,96.25,97.50,96.25,96.75±0.68
97.50,97.50,97.50,98.75,100.00,98.25±1.12
97.50,97.50,92.50,96.25,91.25,95.00±2.93
78.75,71.25,72.50,70.00,76.25,73.75±3.64
90.00,90.00,92.50,91.25,95.00,91.75±2.09
93.75,91.25,95.00,87.50,92.50,92.00±2.88
98.75,96.25,98.75,100.00,100.00,98.75±1.53
97.50,100.00,100.00,97.50,100.00,99.00±1.37
76.25,66.25,81.25,70.00,57.50,70.25±9.16
97.50,85.00,81.25,78.75,80.00,84.50±7.63
35.00,36.25,38.75,23.75,38.75,34.50±6.22
90.00,92.50,82.50,96.25,91.25,90.50±5.05
100.00,100.00,97.50,98.75,97.50,98.75±1.25
92.50,96.25,98.75,95.00,91.25,94.75±2.98
70.00,67.50,67.50,65.00,61.25,66.25±3.31
98.75,97.50,97.50,97.50,97.50,97.75±0.56
87.50,95.00,77.50,91.25,86.25,87.50±6.56
62.50,71.25,61.25,65.00,61.25,64.25±4.20
84.88,85.72,85.19,85.21,83.31,84.86±16.38
