Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
75.00,75.00,38.75,60.00,55.00,60.75±15.20
86.25,87.50,68.75,90.00,90.00,84.50±8.95
50.00,57.50,33.75,58.75,58.75,51.75±10.70
98.75,93.75,96.25,100.00,95.00,96.75±2.59
56.25,30.00,42.50,32.50,28.75,38.00±11.54
95.00,86.25,96.25,92.50,91.25,92.25±3.89
100.00,100.00,100.00,100.00,98.75,99.75±0.56
36.25,53.75,50.00,51.25,62.50,50.75±9.46
67.50,55.00,61.25,80.00,58.75,64.50±9.79
71.25,70.00,81.25,76.25,68.75,73.50±5.18
100.00,100.00,100.00,100.00,98.75,99.75±0.56
100.00,98.75,100.00,100.00,98.75,99.50±0.68
61.25,45.00,60.00,58.75,60.00,57.00±6.77
48.75,73.75,61.25,76.25,67.50,65.50±11.03
63.75,78.75,55.00,82.50,68.75,69.75±11.16
95.00,90.00,97.50,96.25,93.75,94.50±2.88
63.75,68.75,78.75,81.25,55.00,69.50±10.81
100.00,98.75,100.00,98.75,96.25,98.75±1.53
88.75,51.25,92.50,70.00,85.00,77.50±16.98
45.00,48.75,62.50,51.25,48.75,51.25±6.67
87.50,86.25,78.75,83.75,70.00,81.25±7.13
65.00,43.75,50.00,51.25,53.75,52.75±7.78
28.75,20.00,30.00,28.75,31.25,27.75±4.45
58.75,48.75,37.50,37.50,36.25,43.75±9.80
73.75,82.50,86.25,90.00,87.50,84.00±6.34
58.75,63.75,77.50,66.25,65.00,66.25±6.90
82.50,92.50,83.75,76.25,72.50,81.50±7.68
72.50,66.25,66.25,58.75,55.00,63.75±6.90
72.50,55.00,60.00,50.00,75.00,62.50±10.90
100.00,97.50,76.25,95.00,100.00,93.75±10.00
100.00,98.75,100.00,92.50,100.00,98.25±3.26
98.75,86.25,86.25,85.00,97.50,90.75±6.77
51.25,61.25,46.25,16.25,38.75,42.75±16.92
27.50,30.00,35.00,32.50,32.50,31.50±2.85
27.50,31.25,40.00,36.25,22.50,31.50±6.93
98.75,100.00,100.00,100.00,100.00,99.75±0.56
91.25,98.75,97.50,97.50,96.25,96.25±2.93
88.75,66.25,95.00,90.00,76.25,83.25±11.75
83.75,75.00,90.00,82.50,88.75,84.00±5.96
66.25,55.00,63.75,53.75,62.50,60.25±5.55
90.00,91.25,88.75,93.75,93.75,91.50±2.24
90.00,88.75,81.25,92.50,76.25,85.75±6.77
98.75,98.75,100.00,100.00,100.00,99.50±0.68
97.50,100.00,100.00,98.75,100.00,99.25±1.12
36.25,42.50,33.75,42.50,38.75,38.75±3.85
58.75,51.25,62.50,55.00,56.25,56.75±4.20
27.50,26.25,33.75,27.50,30.00,29.00±2.98
88.75,85.00,63.75,81.25,85.00,80.75±9.87
98.75,98.75,95.00,95.00,97.50,97.00±1.90
47.50,81.25,85.00,95.00,91.25,80.00±18.94
50.00,53.75,43.75,43.75,31.25,44.50±8.55
67.50,83.75,76.25,72.50,86.25,77.25±7.78
63.75,58.75,51.25,75.00,62.50,62.25±8.63
37.50,40.00,36.25,31.25,48.75,38.75±6.43
72.01,70.76,70.88,71.92,71.09,71.33±22.23
