Fold1,Fold2,Mean±Std
89.58,97.92,93.75±5.89
95.83,93.75,94.79±1.47
70.83,81.25,76.04±7.37
95.83,100.00,97.92±2.95
68.75,64.58,66.67±2.95
97.92,97.92,97.92±0.00
100.00,100.00,100.00±0.00
83.33,87.50,85.42±2.95
91.67,95.83,93.75±2.95
87.50,95.83,91.67±5.89
100.00,100.00,100.00±0.00
97.92,100.00,98.96±1.47
87.50,89.58,88.54±1.47
93.75,95.83,94.79±1.47
97.92,95.83,96.88±1.47
100.00,97.92,98.96±1.47
89.58,81.25,85.42±5.89
97.92,100.00,98.96±1.47
100.00,97.92,98.96±1.47
83.33,85.42,84.38±1.47
89.58,89.58,89.58±0.00
72.92,79.17,76.04±4.42
39.58,33.33,36.46±4.42
93.75,89.58,91.67±2.95
93.75,95.83,94.79±1.47
93.75,89.58,91.67±2.95
97.92,91.67,94.79±4.42
91.67,91.67,91.67±0.00
93.75,97.92,95.83±2.95
100.00,100.00,100.00±0.00
100.00,100.00,100.00±0.00
97.92,97.92,97.92±0.00
93.75,95.83,94.79±1.47
62.50,62.50,62.50±0.00
56.25,79.17,67.71±16.20
100.00,97.92,98.96±1.47
100.00,95.83,97.92±2.95
100.00,97.92,98.96±1.47
93.75,100.00,96.88±4.42
79.17,85.42,82.29±4.42
97.92,89.58,93.75±5.89
93.75,95.83,94.79±1.47
100.00,100.00,100.00±0.00
97.92,100.00,98.96±1.47
77.08,75.00,76.04±1.47
100.00,100.00,100.00±0.00
35.42,29.17,32.29±4.42
100.00,91.67,95.83±5.89
100.00,100.00,100.00±0.00
95.83,97.92,96.88±1.47
72.92,77.08,75.00±2.95
100.00,97.92,98.96±1.47
100.00,95.83,97.92±2.95
77.08,66.67,71.88±7.37
89.39,89.74,89.56±14.47
