Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
81.25,73.75,78.75,87.50,66.25,77.50±8.00
72.50,68.75,73.75,80.00,81.25,75.25±5.26
48.75,55.00,56.25,60.00,47.50,53.50±5.26
96.25,93.75,90.00,92.50,91.25,92.75±2.40
62.50,42.50,55.00,60.00,53.75,54.75±7.73
88.75,86.25,86.25,87.50,83.75,86.50±1.85
97.50,96.25,97.50,97.50,98.75,97.50±0.88
65.00,71.25,65.00,70.00,56.25,65.50±5.90
63.75,77.50,66.25,66.25,72.50,69.25±5.63
65.00,82.50,86.25,77.50,72.50,76.75±8.37
98.75,98.75,98.75,98.75,100.00,99.00±0.56
77.50,90.00,90.00,85.00,87.50,86.00±5.18
57.50,43.75,61.25,50.00,52.50,53.00±6.77
81.25,86.25,85.00,78.75,87.50,83.75±3.64
75.00,62.50,72.50,70.00,70.00,70.00±4.68
90.00,95.00,95.00,93.75,91.25,93.00±2.27
72.50,82.50,77.50,77.50,81.25,78.25±3.91
95.00,95.00,96.25,95.00,98.75,96.00±1.63
76.25,71.25,75.00,71.25,62.50,71.25±5.38
45.00,52.50,60.00,55.00,51.25,52.75±5.48
66.25,61.25,83.75,80.00,77.50,73.75±9.56
53.75,60.00,66.25,53.75,41.25,55.00±9.27
38.75,35.00,27.50,28.75,30.00,32.00±4.73
58.75,56.25,56.25,51.25,61.25,56.75±3.71
73.75,87.50,82.50,88.75,75.00,81.50±6.93
61.25,63.75,55.00,61.25,52.50,58.75±4.76
86.25,85.00,77.50,83.75,87.50,84.00±3.89
66.25,71.25,68.75,68.75,62.50,67.50±3.31
66.25,83.75,86.25,78.75,76.25,78.25±7.79
95.00,97.50,98.75,96.25,97.50,97.00±1.43
85.00,98.75,96.25,87.50,95.00,92.50±5.93
97.50,96.25,93.75,97.50,97.50,96.50±1.63
63.75,68.75,81.25,57.50,72.50,68.75±8.97
31.25,33.75,32.50,40.00,25.00,32.50±5.38
37.50,61.25,63.75,50.00,56.25,53.75±10.50
93.75,100.00,100.00,100.00,98.75,98.50±2.71
95.00,92.50,96.25,92.50,92.50,93.75±1.77
88.75,95.00,92.50,87.50,83.75,89.50±4.38
91.25,85.00,90.00,91.25,90.00,89.50±2.59
75.00,67.50,70.00,73.75,60.00,69.25±5.97
88.75,87.50,82.50,86.25,81.25,85.25±3.24
72.50,73.75,60.00,77.50,67.50,70.25±6.75
98.75,96.25,98.75,100.00,96.25,98.00±1.68
81.25,93.75,90.00,88.75,95.00,89.75±5.41
55.00,50.00,55.00,47.50,36.25,48.75±7.71
65.00,76.25,68.75,68.75,75.00,70.75±4.73
26.25,31.25,38.75,18.75,26.25,28.25±7.37
86.25,85.00,86.25,80.00,78.75,83.25±3.60
98.75,100.00,100.00,98.75,97.50,99.00±1.05
86.25,95.00,96.25,92.50,85.00,91.00±5.11
41.25,30.00,41.25,47.50,27.50,37.50±8.43
88.75,86.25,85.00,86.25,77.50,84.75±4.28
75.00,83.75,80.00,72.50,61.25,74.50±8.60
50.00,53.75,36.25,48.75,35.00,44.75±8.54
73.12,75.32,76.00,74.75,71.83,74.20±19.01
