Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
58.75,55.0,58.75,50.0,55.0,55.50±3.60,12.26±2.67
66.25,66.25,76.25,66.25,71.25,69.25±4.47,25.12±5.15
55.0,31.25,35.0,37.5,41.25,40.00±9.14,3.92±4.53
88.75,93.75,95.0,93.75,95.0,93.25±2.59,61.68±5.29
46.25,32.5,42.5,45.0,32.5,39.75±6.75,3.47±2.51
78.75,85.0,81.25,78.75,71.25,79.00±5.03,37.37±6.89
91.25,95.0,96.25,96.25,95.0,94.75±2.05,64.97±4.53
23.75,36.25,27.5,32.5,27.5,29.50±4.89,0.56±0.76
37.5,40.0,45.0,45.0,48.75,43.25±4.47,4.74±2.11
57.5,58.75,45.0,55.0,60.0,55.25±6.02,12.29±4.12
100.0,100.0,100.0,100.0,100.0,100.00±0.00,80.00±0.00
88.75,91.25,91.25,96.25,87.5,91.00±3.35,57.19±6.96
36.25,33.75,35.0,38.75,25.0,33.75±5.23,1.39±0.97
61.25,65.0,53.75,53.75,61.25,59.00±5.03,15.19±4.22
45.0,43.75,51.25,45.0,47.5,46.50±2.98,6.31±1.73
75.0,76.25,76.25,67.5,75.0,74.00±3.69,30.60±4.32
63.75,57.5,66.25,65.0,68.75,64.25±4.20,19.89±3.94
98.75,98.75,96.25,96.25,97.5,97.50±1.25,71.82±3.47
62.5,70.0,68.75,65.0,57.5,64.75±5.03,20.46±4.85
32.5,37.5,37.5,27.5,35.0,34.00±4.18,1.35±0.91
62.5,65.0,68.75,57.5,58.75,62.50±4.59,18.26±4.33
41.25,45.0,35.0,42.5,36.25,40.00±4.24,3.30±1.67
17.5,26.25,21.25,28.75,22.5,23.25±4.38,0.05±0.09
52.5,52.5,45.0,43.75,48.75,48.50±4.09,7.53±2.44
55.0,60.0,71.25,60.0,60.0,61.25±5.99,17.26±5.80
63.75,56.25,57.5,57.5,51.25,57.25±4.45,13.69±3.63
88.75,87.5,80.0,86.25,86.25,85.75±3.38,47.54±5.40
46.25,47.5,45.0,47.5,51.25,47.50±2.34,6.84±1.39
45.0,41.25,63.75,62.5,51.25,52.75±10.13,11.09±7.18
92.5,90.0,93.75,93.75,93.75,92.75±1.63,60.48±3.33
98.75,98.75,100.0,96.25,98.75,98.50±1.37,74.88±4.15
85.0,83.75,91.25,88.75,91.25,88.00±3.49,51.48±6.19
35.0,32.5,31.25,32.5,35.0,33.25±1.68,1.01±0.39
21.25,36.25,27.5,28.75,23.75,27.50±5.73,0.42±0.77
35.0,33.75,41.25,37.5,31.25,35.75±3.81,1.79±1.19
98.75,100.0,100.0,100.0,100.0,99.75±0.56,79.07±2.09
88.75,81.25,91.25,87.5,81.25,86.00±4.54,48.15±7.63
83.75,93.75,88.75,91.25,83.75,88.25±4.47,52.12±8.14
55.0,50.0,58.75,51.25,63.75,55.75±5.63,12.63±4.47
41.25,28.75,28.75,36.25,41.25,35.25±6.27,1.90±1.72
82.5,86.25,85.0,82.5,81.25,83.50±2.05,43.77±3.26
63.75,66.25,60.0,60.0,66.25,63.25±3.14,18.85±2.96
88.75,95.0,87.5,93.75,83.75,89.75±4.63,54.98±8.82
91.25,93.75,96.25,91.25,85.0,91.50±4.18,58.34±8.23
35.0,32.5,30.0,41.25,38.75,35.50±4.56,1.78±1.35
48.75,45.0,47.5,48.75,51.25,48.25±2.27,7.27±1.34
33.75,28.75,27.5,31.25,32.5,30.75±2.59,0.56±0.42
46.25,48.75,57.5,46.25,52.5,50.25±4.79,8.67±3.23
82.5,81.25,86.25,87.5,86.25,84.75±2.71,45.82±4.35
71.25,82.5,72.5,76.25,83.75,77.25±5.69,35.06±7.72
47.5,42.5,36.25,35.0,32.5,38.75±6.12,3.00±2.47
60.0,57.5,51.25,66.25,52.5,57.50±6.06,14.06±5.07
46.25,42.5,45.0,42.5,42.5,43.75±1.77,4.82±0.88
40.0,45.0,41.25,35.0,42.5,40.75±3.71,3.56±1.47
61.34,61.57,61.9,61.53,61.0,61.47±23.07,24.83±24.74
