Fold1,Fold2,Mean±Std
60.42,58.33,59.38±1.47
77.08,77.08,77.08±0.00
50.00,43.75,46.88±4.42
95.83,89.58,92.71±4.42
52.08,41.67,46.88±7.37
77.08,83.33,80.21±4.42
93.75,97.92,95.83±2.95
45.83,39.58,42.71±4.42
50.00,41.67,45.83±5.89
66.67,60.42,63.54±4.42
100.00,100.00,100.00±0.00
97.92,95.83,96.88±1.47
35.42,39.58,37.50±2.95
60.42,72.92,66.67±8.84
58.33,41.67,50.00±11.79
72.92,79.17,76.04±4.42
75.00,66.67,70.83±5.89
95.83,97.92,96.88±1.47
77.08,60.42,68.75±11.79
31.25,35.42,33.33±2.95
60.42,58.33,59.38±1.47
47.92,45.83,46.88±1.47
31.25,31.25,31.25±0.00
72.92,47.92,60.42±17.68
87.50,75.00,81.25±8.84
70.83,62.50,66.67±5.89
91.67,85.42,88.54±4.42
47.92,58.33,53.12±7.37
66.67,58.33,62.50±5.89
95.83,95.83,95.83±0.00
100.00,100.00,100.00±0.00
95.83,87.50,91.67±5.89
22.92,35.42,29.17±8.84
29.17,35.42,32.29±4.42
35.42,41.67,38.54±4.42
100.00,100.00,100.00±0.00
91.67,87.50,89.58±2.95
97.92,87.50,92.71±7.37
66.67,66.67,66.67±0.00
37.50,35.42,36.46±1.47
93.75,72.92,83.33±14.73
72.92,64.58,68.75±5.89
95.83,95.83,95.83±0.00
91.67,97.92,94.79±4.42
43.75,47.92,45.83±2.95
60.42,45.83,53.12±10.31
20.83,37.50,29.17±11.79
75.00,60.42,67.71±10.31
85.42,81.25,83.33±2.95
64.58,87.50,76.04±16.20
50.00,56.25,53.12±4.42
72.92,68.75,70.83±2.95
56.25,52.08,54.17±2.95
41.67,47.92,44.79±4.42
67.55,65.47,66.51±21.91
