Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
85.00,80.00,55.00,55.00,60.00,67.00±14.40
80.00,80.00,80.00,80.00,90.00,82.00±4.47
40.00,70.00,35.00,60.00,50.00,51.00±14.32
90.00,90.00,95.00,95.00,100.00,94.00±4.18
60.00,40.00,40.00,40.00,45.00,45.00±8.66
95.00,95.00,90.00,80.00,75.00,87.00±9.08
90.00,100.00,100.00,100.00,100.00,98.00±4.47
40.00,50.00,50.00,25.00,30.00,39.00±11.40
60.00,60.00,55.00,60.00,60.00,59.00±2.24
60.00,70.00,50.00,75.00,45.00,60.00±12.75
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,95.00,95.00,95.00,100.00,96.00±2.24
55.00,40.00,60.00,45.00,40.00,48.00±9.08
80.00,85.00,55.00,75.00,60.00,71.00±12.94
80.00,65.00,65.00,75.00,35.00,64.00±17.46
80.00,85.00,85.00,80.00,95.00,85.00±6.12
90.00,70.00,80.00,75.00,80.00,79.00±7.42
90.00,100.00,100.00,100.00,100.00,98.00±4.47
70.00,80.00,85.00,70.00,65.00,74.00±8.22
55.00,35.00,35.00,55.00,30.00,42.00±12.04
70.00,70.00,100.00,70.00,60.00,74.00±15.17
65.00,40.00,60.00,30.00,55.00,50.00±14.58
25.00,30.00,15.00,30.00,10.00,22.00±9.08
80.00,55.00,80.00,65.00,40.00,64.00±17.10
65.00,90.00,75.00,95.00,60.00,77.00±15.25
85.00,70.00,75.00,70.00,70.00,74.00±6.52
95.00,85.00,100.00,85.00,85.00,90.00±7.07
60.00,45.00,70.00,45.00,55.00,55.00±10.61
60.00,80.00,65.00,70.00,65.00,68.00±7.58
100.00,100.00,85.00,100.00,100.00,97.00±6.71
100.00,95.00,100.00,100.00,100.00,99.00±2.24
85.00,100.00,85.00,100.00,95.00,93.00±7.58
30.00,20.00,45.00,30.00,40.00,33.00±9.75
30.00,35.00,20.00,40.00,40.00,33.00±8.37
45.00,25.00,55.00,55.00,40.00,44.00±12.45
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,90.00,90.00,95.00,95.00,92.00±2.74
90.00,100.00,90.00,95.00,90.00,93.00±4.47
50.00,70.00,70.00,75.00,80.00,69.00±11.40
60.00,50.00,55.00,40.00,35.00,48.00±10.37
90.00,100.00,90.00,80.00,75.00,87.00±9.75
90.00,85.00,75.00,60.00,75.00,77.00±11.51
85.00,90.00,90.00,90.00,100.00,91.00±5.48
90.00,80.00,95.00,100.00,90.00,91.00±7.42
35.00,40.00,15.00,40.00,60.00,38.00±16.05
55.00,55.00,75.00,50.00,50.00,57.00±10.37
25.00,15.00,30.00,45.00,40.00,31.00±11.94
75.00,70.00,60.00,65.00,50.00,64.00±9.62
100.00,100.00,95.00,80.00,90.00,93.00±8.37
90.00,85.00,85.00,95.00,80.00,87.00±5.70
35.00,40.00,50.00,40.00,55.00,44.00±8.22
80.00,75.00,85.00,65.00,85.00,78.00±8.37
60.00,70.00,75.00,65.00,50.00,64.00±9.62
40.00,50.00,45.00,75.00,70.00,56.00±15.57
70.93,70.28,70.56,70.00,67.50,69.85±21.55
