Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
46.25,53.75,41.25,42.5,35.0,43.75±6.90,7.14±4.83
56.25,46.25,61.25,47.5,42.5,50.75±7.74,12.73±7.22
36.25,43.75,35.0,53.75,42.5,42.25±7.47,6.29±5.15
73.75,91.25,87.5,93.75,83.75,86.00±7.83,66.66±17.17
50.0,32.5,35.0,40.0,40.0,39.50±6.71,4.58±4.02
82.5,78.75,67.5,77.5,66.25,74.50±7.21,43.23±12.20
72.5,66.25,91.25,97.5,85.0,82.50±12.96,61.48±27.91
31.25,48.75,38.75,37.5,37.5,38.75±6.31,4.13±3.59
40.0,60.0,50.0,47.5,62.5,52.00±9.25,14.20±8.57
46.25,37.5,52.5,52.5,60.0,49.75±8.40,12.00±6.91
88.75,90.0,93.75,95.0,90.0,91.50±2.71,79.17±7.58
88.75,78.75,80.0,73.75,88.75,82.00±6.59,57.38±13.72
40.0,46.25,40.0,43.75,47.5,43.50±3.47,6.52±2.28
47.5,38.75,37.5,41.25,37.5,40.50±4.20,4.76±2.64
45.0,41.25,41.25,41.25,43.75,42.50±1.77,5.76±1.13
71.25,82.5,61.25,70.0,67.5,70.50±7.74,36.80±12.73
47.5,42.5,56.25,30.0,37.5,42.75±9.94,7.16±6.55
93.75,88.75,81.25,95.0,91.25,90.00±5.45,75.84±13.48
45.0,41.25,45.0,60.0,35.0,45.25±9.20,8.65±7.55
33.75,30.0,40.0,32.5,32.5,33.75±3.75,1.70±1.48
70.0,76.25,75.0,73.75,56.25,70.25±8.17,36.43±11.35
42.5,46.25,45.0,41.25,47.5,44.50±2.59,7.13±1.78
23.75,36.25,28.75,38.75,32.5,32.00±5.97,1.49±1.52
41.25,30.0,45.0,27.5,40.0,36.75±7.58,3.45±3.09
57.5,73.75,71.25,67.5,61.25,66.25±6.79,30.25±9.36
38.75,48.75,37.5,30.0,33.75,37.75±7.04,3.77±3.83
51.25,55.0,63.75,61.25,55.0,57.25±5.11,18.75±5.68
47.5,40.0,41.25,31.25,38.75,39.75±5.82,4.57±3.06
42.5,63.75,53.75,52.5,60.0,54.50±8.13,16.37±7.87
80.0,66.25,85.0,67.5,77.5,75.25±8.12,44.79±14.18
85.0,91.25,91.25,81.25,96.25,89.00±5.89,73.48±14.94
87.5,70.0,68.75,71.25,77.5,75.00±7.76,44.33±14.70
28.75,32.5,32.5,33.75,25.0,30.50±3.60,0.80±0.63
30.0,31.25,30.0,40.0,28.75,32.00±4.56,1.27±1.68
26.25,23.75,28.75,28.75,30.0,27.50±2.50,0.22±0.21
93.75,95.0,98.75,96.25,96.25,96.00±1.85,92.74±6.49
71.25,65.0,85.0,60.0,61.25,68.50±10.21,34.47±16.98
41.25,33.75,40.0,61.25,32.5,41.75±11.54,6.98±9.14
52.5,57.5,55.0,68.75,68.75,60.50±7.74,22.94±9.54
58.75,42.5,45.0,32.5,41.25,44.00±9.50,7.86±7.22
66.25,87.5,83.75,72.5,60.0,74.00±11.57,43.79±20.02
42.5,60.0,50.0,55.0,37.5,49.00±9.12,11.53±7.54
71.25,87.5,88.75,93.75,92.5,86.75±9.04,68.86±19.07
56.25,78.75,66.25,81.25,76.25,71.75±10.37,39.46±15.59
36.25,42.5,37.5,45.0,36.25,39.50±4.01,4.20±2.24
36.25,35.0,37.5,37.5,30.0,35.25±3.11,2.18±1.03
25.0,25.0,23.75,25.0,22.5,24.25±1.12,0.00±0.00
53.75,66.25,53.75,43.75,43.75,52.25±9.29,14.45±9.42
55.0,65.0,66.25,73.75,81.25,68.25±9.87,33.90±14.72
45.0,46.25,38.75,62.5,65.0,51.50±11.57,14.36±11.06
35.0,41.25,41.25,31.25,31.25,36.00±5.03,2.69±2.13
52.5,61.25,53.75,43.75,53.75,53.00±6.22,14.55±5.87
37.5,35.0,26.25,46.25,41.25,37.25±7.47,3.65±3.15
27.5,32.5,28.75,27.5,28.75,29.00±2.05,0.39±0.41
52.71,55.21,54.7,55.12,53.45,54.24±19.42,22.63±24.68
