Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
90.00,85.00,90.00,95.00,60.00,84.00±13.87
95.00,90.00,100.00,95.00,95.00,95.00±3.54
80.00,60.00,70.00,90.00,80.00,76.00±11.40
95.00,100.00,100.00,100.00,100.00,99.00±2.24
70.00,55.00,50.00,75.00,45.00,59.00±12.94
95.00,95.00,100.00,100.00,80.00,94.00±8.22
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,95.00,85.00,95.00,85.00,90.00±5.00
85.00,100.00,95.00,95.00,95.00,94.00±5.48
95.00,75.00,90.00,100.00,95.00,91.00±9.62
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,100.00,100.00,100.00,100.00,99.00±2.24
75.00,75.00,80.00,75.00,75.00,76.00±2.24
95.00,95.00,80.00,90.00,85.00,89.00±6.52
85.00,100.00,95.00,100.00,95.00,95.00±6.12
100.00,100.00,100.00,100.00,100.00,100.00±0.00
75.00,90.00,80.00,85.00,80.00,82.00±5.70
95.00,100.00,100.00,100.00,100.00,99.00±2.24
90.00,80.00,95.00,85.00,90.00,88.00±5.70
75.00,75.00,80.00,80.00,85.00,79.00±4.18
95.00,100.00,100.00,95.00,95.00,97.00±2.74
70.00,90.00,85.00,75.00,65.00,77.00±10.37
45.00,40.00,30.00,40.00,45.00,40.00±6.12
75.00,80.00,80.00,75.00,80.00,78.00±2.74
95.00,95.00,100.00,100.00,90.00,96.00±4.18
100.00,95.00,90.00,80.00,85.00,90.00±7.91
100.00,95.00,90.00,95.00,90.00,94.00±4.18
80.00,90.00,85.00,80.00,90.00,85.00±5.00
85.00,95.00,100.00,100.00,85.00,93.00±7.58
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
75.00,90.00,80.00,85.00,95.00,85.00±7.91
45.00,65.00,45.00,70.00,55.00,56.00±11.40
60.00,70.00,65.00,60.00,40.00,59.00±11.40
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,95.00,95.00,98.00±2.74
100.00,95.00,95.00,95.00,95.00,96.00±2.24
85.00,90.00,90.00,95.00,95.00,91.00±4.18
75.00,80.00,75.00,75.00,70.00,75.00±3.54
95.00,100.00,100.00,100.00,80.00,95.00±8.66
95.00,95.00,95.00,95.00,100.00,96.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
55.00,80.00,70.00,70.00,85.00,72.00±11.51
85.00,90.00,90.00,95.00,80.00,88.00±5.70
15.00,25.00,25.00,35.00,30.00,26.00±7.42
100.00,85.00,95.00,95.00,85.00,92.00±6.71
90.00,100.00,100.00,100.00,100.00,98.00±4.47
90.00,100.00,95.00,100.00,100.00,97.00±4.47
50.00,60.00,60.00,50.00,60.00,56.00±5.48
95.00,95.00,95.00,95.00,90.00,94.00±2.24
65.00,90.00,75.00,90.00,90.00,82.00±11.51
55.00,80.00,45.00,50.00,75.00,61.00±15.57
84.35,87.78,86.02,87.96,85.00,86.22±16.18
