Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
53.75,46.25,51.25,53.75,35.0,48.00±7.89,8.84±4.60
51.25,40.0,45.0,33.75,35.0,41.00±7.26,4.66±3.82
35.0,43.75,35.0,40.0,48.75,40.50±5.90,4.22±2.97
56.25,75.0,77.5,78.75,77.5,73.00±9.46,34.85±11.47
33.75,22.5,32.5,31.25,37.5,31.50±5.55,1.08±0.94
63.75,58.75,55.0,32.5,62.5,54.50±12.77,14.91±8.50
51.25,62.5,73.75,82.5,71.25,68.25±11.88,29.21±14.43
32.5,30.0,41.25,37.5,32.5,34.75±4.54,1.81±1.55
32.5,51.25,50.0,60.0,43.75,47.50±10.19,8.96±6.42
55.0,50.0,55.0,51.25,47.5,51.75±3.26,11.01±2.52
95.0,92.5,88.75,93.75,72.5,88.50±9.24,62.07±17.14
77.5,83.75,80.0,77.5,85.0,80.75±3.49,45.82±5.95
58.75,38.75,42.5,47.5,37.5,45.00±8.62,7.05±5.94
37.5,42.5,37.5,28.75,37.5,36.75±4.97,2.54±1.63
45.0,27.5,28.75,28.75,32.5,32.50±7.23,1.56±2.65
56.25,67.5,62.5,56.25,43.75,57.25±8.90,16.45±7.85
42.5,40.0,27.5,32.5,37.5,36.00±6.02,2.41±1.92
81.25,96.25,75.0,97.5,95.0,89.00±10.21,64.02±20.99
37.5,38.75,45.0,38.75,47.5,41.50±4.45,4.54±2.36
40.0,31.25,42.5,38.75,35.0,37.50±4.42,2.76±1.64
73.75,56.25,56.25,62.5,70.0,63.75±7.95,22.93±9.04
47.5,51.25,46.25,38.75,43.75,45.50±4.64,6.79±2.77
40.0,30.0,35.0,38.75,31.25,35.00±4.42,1.88±1.41
36.25,42.5,37.5,32.5,33.75,36.50±3.89,2.33±1.54
68.75,66.25,77.5,55.0,60.0,65.50±8.60,25.06±10.27
28.75,50.0,47.5,33.75,45.0,41.00±9.24,5.04±4.10
57.5,46.25,50.0,66.25,48.75,53.75±8.15,13.23±7.40
28.75,38.75,32.5,36.25,31.25,33.50±3.99,1.39±1.15
41.25,51.25,48.75,47.5,50.0,47.75±3.89,8.16±2.43
67.5,52.5,43.75,37.5,55.0,51.25±11.46,11.93±9.30
80.0,91.25,86.25,63.75,62.5,76.75±13.07,41.82±20.09
51.25,62.5,65.0,66.25,62.5,61.50±5.96,20.16±5.69
27.5,38.75,27.5,33.75,36.25,32.75±5.11,1.32±1.27
22.5,37.5,36.25,38.75,32.5,33.50±6.58,1.72±1.24
31.25,35.0,42.5,26.25,33.75,33.75±5.93,1.69±1.87
90.0,83.75,98.75,95.0,97.5,93.00±6.16,71.85±14.75
70.0,63.75,51.25,75.0,42.5,60.50±13.42,20.76±13.14
45.0,46.25,48.75,45.0,41.25,45.25±2.71,6.48±1.62
53.75,55.0,48.75,55.0,57.5,54.00±3.24,12.83±2.61
35.0,32.5,38.75,31.25,21.25,31.75±6.53,1.26±1.16
48.75,68.75,63.75,47.5,36.25,53.00±13.16,13.77±10.89
37.5,45.0,43.75,28.75,25.0,36.00±8.90,2.91±2.90
85.0,77.5,91.25,73.75,82.5,82.00±6.77,48.62±12.13
45.0,58.75,72.5,68.75,60.0,61.00±10.66,20.52±10.43
33.75,48.75,32.5,52.5,46.25,42.75±9.07,5.88±4.64
46.25,36.25,36.25,35.0,38.75,38.50±4.54,3.17±2.21
27.5,32.5,27.5,23.75,33.75,29.00±4.09,0.49±0.58
56.25,65.0,68.75,55.0,58.75,60.75±5.90,19.39±6.23
80.0,71.25,70.0,75.0,75.0,74.25±3.91,35.71±5.74
56.25,55.0,48.75,56.25,55.0,54.25±3.14,13.03±2.49
28.75,33.75,38.75,31.25,26.25,31.75±4.81,1.05±1.21
45.0,35.0,47.5,40.0,48.75,43.25±5.70,5.60±2.94
42.5,28.75,36.25,31.25,31.25,34.00±5.48,1.70±1.89
25.0,35.0,33.75,23.75,41.25,31.75±7.32,1.42±1.72
49.81,51.13,51.41,49.31,48.7,50.07±16.93,14.46±17.33
