Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
80.00,80.00,90.00,70.00,75.00,79.00±7.42
95.00,90.00,95.00,85.00,90.00,91.00±4.18
75.00,50.00,70.00,80.00,80.00,71.00±12.45
100.00,100.00,100.00,95.00,100.00,99.00±2.24
60.00,30.00,45.00,50.00,55.00,48.00±11.51
100.00,100.00,95.00,95.00,95.00,97.00±2.74
100.00,100.00,100.00,100.00,100.00,100.00±0.00
85.00,95.00,70.00,90.00,65.00,81.00±12.94
80.00,95.00,80.00,80.00,95.00,86.00±8.22
90.00,65.00,90.00,95.00,90.00,86.00±11.94
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
85.00,90.00,100.00,80.00,80.00,87.00±8.37
85.00,80.00,85.00,85.00,85.00,84.00±2.24
85.00,90.00,100.00,90.00,85.00,90.00±6.12
95.00,90.00,95.00,100.00,100.00,96.00±4.18
75.00,85.00,55.00,70.00,70.00,71.00±10.84
95.00,100.00,100.00,100.00,100.00,99.00±2.24
90.00,95.00,100.00,95.00,90.00,94.00±4.18
60.00,65.00,75.00,80.00,40.00,64.00±15.57
85.00,85.00,80.00,75.00,95.00,84.00±7.42
40.00,70.00,75.00,85.00,60.00,66.00±17.10
60.00,50.00,40.00,60.00,60.00,54.00±8.94
65.00,55.00,75.00,50.00,75.00,64.00±11.40
90.00,90.00,95.00,95.00,95.00,93.00±2.74
90.00,100.00,90.00,80.00,85.00,89.00±7.42
95.00,95.00,95.00,95.00,90.00,94.00±2.24
75.00,85.00,85.00,75.00,80.00,80.00±5.00
70.00,95.00,90.00,90.00,95.00,88.00±10.37
100.00,95.00,100.00,100.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,95.00,100.00,100.00,100.00,99.00±2.24
75.00,95.00,85.00,80.00,80.00,83.00±7.58
25.00,70.00,40.00,55.00,40.00,46.00±17.10
60.00,70.00,55.00,60.00,55.00,60.00±6.12
100.00,100.00,100.00,95.00,100.00,99.00±2.24
100.00,100.00,100.00,95.00,95.00,98.00±2.74
95.00,100.00,100.00,100.00,90.00,97.00±4.47
100.00,90.00,85.00,85.00,85.00,89.00±6.52
55.00,40.00,70.00,55.00,60.00,56.00±10.84
90.00,100.00,90.00,95.00,80.00,91.00±7.42
90.00,95.00,95.00,80.00,100.00,92.00±7.58
95.00,100.00,100.00,100.00,100.00,99.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
70.00,65.00,80.00,70.00,65.00,70.00±6.12
85.00,90.00,90.00,80.00,90.00,87.00±4.47
30.00,40.00,50.00,30.00,25.00,35.00±10.00
90.00,100.00,95.00,95.00,85.00,93.00±5.70
90.00,100.00,95.00,100.00,100.00,97.00±4.47
85.00,100.00,75.00,95.00,85.00,88.00±9.75
80.00,70.00,45.00,55.00,60.00,62.00±13.51
85.00,95.00,90.00,70.00,95.00,87.00±10.37
75.00,80.00,85.00,95.00,75.00,82.00±8.37
60.00,60.00,40.00,50.00,70.00,56.00±11.40
82.22,84.72,83.98,83.06,82.69,83.33±16.39
