Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std,ITR(bits/min)
85.0,90.0,81.25,88.75,92.5,87.50±4.42,54.37±8.22
96.25,91.25,93.75,87.5,96.25,93.00±3.71,65.79±8.27
66.25,67.5,55.0,70.0,71.25,66.00±6.46,23.43±6.48
96.25,100.0,98.75,100.0,100.0,99.00±1.63,82.23±5.45
60.0,50.0,60.0,42.5,27.5,48.00±13.62,9.47±7.49
97.5,96.25,100.0,96.25,96.25,97.25±1.63,76.47±5.39
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
47.5,68.75,46.25,43.75,58.75,53.00±10.52,12.16±8.83
53.75,77.5,87.5,75.0,78.75,74.50±12.52,35.25±15.25
77.5,60.0,62.5,73.75,66.25,68.00±7.43,25.86±8.73
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
100.0,97.5,98.75,98.75,98.75,98.75±0.88,80.93±3.17
41.25,52.5,56.25,43.75,37.5,46.25±7.86,7.14±4.79
91.25,91.25,87.5,92.5,91.25,90.75±1.90,60.47±3.84
90.0,95.0,83.75,83.75,92.5,89.00±5.11,57.50±10.17
98.75,98.75,97.5,97.5,100.0,98.50±1.05,80.14±3.68
81.25,85.0,83.75,87.5,91.25,85.75±3.81,51.02±7.00
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
92.5,80.0,95.0,91.25,80.0,87.75±7.20,55.60±13.52
56.25,57.5,53.75,47.5,51.25,53.25±4.01,11.39±2.98
90.0,92.5,91.25,87.5,87.5,89.75±2.24,58.45±4.54
58.75,67.5,57.5,42.5,58.75,57.00±9.04,15.08±7.15
30.0,27.5,22.5,16.25,27.5,24.75±5.48,0.12±0.16
83.75,76.25,77.5,80.0,67.5,77.00±6.03,37.25±8.31
88.75,95.0,98.75,97.5,95.0,95.00±3.85,70.78±9.28
92.5,82.5,87.5,91.25,92.5,89.25±4.29,57.76±8.20
96.25,96.25,96.25,96.25,98.75,96.75±1.12,74.77±3.32
86.25,85.0,81.25,72.5,60.0,77.00±10.92,38.35±14.48
92.5,92.5,92.5,88.75,96.25,92.50±2.65,64.41±6.00
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
98.75,100.0,97.5,97.5,97.5,98.25±1.12,79.36±3.94
60.0,65.0,47.5,68.75,61.25,60.50±8.03,18.06±7.02
43.75,35.0,43.75,35.0,52.5,42.00±7.32,4.80±3.74
41.25,46.25,72.5,62.5,68.75,58.25±13.82,17.30±11.79
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
96.25,97.5,97.5,98.75,98.75,97.75±1.05,77.66±3.14
97.5,96.25,98.75,100.0,100.0,98.50±1.63,80.44±5.48
95.0,92.5,92.5,95.0,92.5,93.50±1.37,66.51±3.23
80.0,58.75,67.5,66.25,48.75,64.25±11.54,22.59±12.33
91.25,96.25,93.75,93.75,93.75,93.75±1.77,67.15±4.20
95.0,88.75,96.25,88.75,95.0,92.75±3.69,65.20±8.21
100.0,100.0,100.0,100.0,100.0,100.00±0.00,85.71±0.00
98.75,100.0,100.0,100.0,100.0,99.75±0.56,84.71±2.24
45.0,62.5,58.75,63.75,53.75,56.75±7.63,14.63±6.04
87.5,92.5,87.5,71.25,88.75,85.50±8.23,51.48±13.20
27.5,27.5,28.75,31.25,25.0,28.00±2.27,0.21±0.24
96.25,86.25,93.75,95.0,95.0,93.25±4.01,66.40±8.56
98.75,100.0,98.75,100.0,100.0,99.50±0.68,83.71±2.74
88.75,96.25,98.75,96.25,96.25,95.25±3.79,71.38±9.01
66.25,57.5,60.0,48.75,53.75,57.25±6.58,14.91±5.73
97.5,98.75,100.0,90.0,100.0,97.25±4.18,77.55±11.12
68.75,80.0,96.25,88.75,85.0,83.75±10.27,49.25±17.53
71.25,73.75,63.75,62.5,67.5,67.75±4.79,25.19±5.51
81.39,81.94,82.22,80.49,81.25,81.46±20.40,52.68±28.40
